ID_18,Org_name,Street_Address_Line_1,Street_Address_Line_2,Suburb,State,Postal_Code,Country,Website_1,Geo_Code_1_StreetAddress_,Geo_Code_2_StreetAddress_,Organisation_Created_Date,Organisation_Last_updated,Phone_1,Primary_Category,ABN
194001,Adelaide Turf Cricket Association,Adelaide Oval,,North Adelaide,South Australia,5006,Australia,atca.sa.cricket.com.au,-34.9241097,138.6037196,23/11/2009 21:44,9/04/2015 11:06,08 8212 4447,Recreation,17851179664
194006,Bike SA,53 Carrington St,,Adelaide,South Australia,5000,Australia,www.bikesa.asn.au,,,23/11/2009 21:44,9/04/2015 12:03,08 8168 9999,Health & Disability,
194035,South Australian Cricket Association,Adelaide Oval,,North Adelaide,South Australia,5006,Australia,www.cricketsa.com.au,,,23/11/2009 21:44,13/04/2015 15:53,08 8300 3800,Recreation,94694912780
194036,South Australian Croquet Association,cnr Hutt St and Glen Osmond Rd,,Adelaide,South Australia,5000,Australia,www.croquetsa.com.au,,,23/11/2009 21:44,1/07/2015 15:19,08 8271 6586,Recreation,62267815857
194040,Golf SA Inc.,North Adelaide Golf Course,Strangways Tce,North Adelaide,South Australia,5006,Australia,www.golfsa.com.au,-34.92486634,138.5533137,23/11/2009 21:44,9/04/2015 14:42,08 8267 1353,Recreation,81497939594
194050,South Australian Rugby Union Ltd,"Tennis SA Centre, Memorial Dr Complex",War Memorial Dr,North Adelaide,South Australia,5006,Australia,www.sarugby.com.au,,,23/11/2009 21:44,15/04/2015 9:51,08 7070 6940,Recreation,67091684409
194059,South Australian National Football League Inc.,Adelaide Oval,"Level 2, Riverbank Stand War Memorial Drive",North Adelaide,South Australia,5006,Australia,www.sanfl.com.au,,,23/11/2009 21:44,13/04/2015 16:35,08 8424 2200,Recreation,
194068,Tennis SA,War Memorial Dr,,Adelaide,South Australia,5000,Australia,www.tennis.com.au/sa,-34.91762995,138.5873996,23/11/2009 21:44,18/11/2015 10:33,08 7224 8100,Recreation,19103003187
194078,Calisthenic Association of SA Inc.,65 Angas St,,Adelaide,South Australia,5000,Australia,www.calisthenicssa.com.au,-34.93028227,138.6033358,23/11/2009 21:44,9/04/2015 13:14,08 8223 5765,Recreation,
194089,Adelaide City Women's Football Club,Park 18 Cnr Hutt Rd and South Tce,,Adelaide,South Australia,5000,Australia,www.acwfc.com,,,23/11/2009 21:44,9/04/2015 10:51,,Recreation,21471842739
194090,Adelaide High Old Scholars Cricket Club Inc.,"Adelaide High School, West Tce",,Adelaide,South Australia,5000,Australia,www.ahoscc.com,,,23/11/2009 21:44,9/04/2015 11:02,,Recreation,
194526,Child & Youth Health Hearing Assessment Unit,295 South Tce,,Adelaide,South Australia,5000,Australia,www.cyh.com/SubContent.aspx?p=138,,,23/11/2009 21:44,15/06/2015 9:16,08 8303 1530,Health & Disability,
